title,score,vote,category,country,year,box_office,link
热辣滚烫,7.5,904533.0,剧情|喜剧,中国大陆,2024,34.5106,https://movie.douban.com/subject/36081094/
飞驰人生2,7.6,759089.0,剧情|动作|喜剧,中国大陆,2024,33.863,https://movie.douban.com/subject/36369452/
抓娃娃,7.1,796114.0,喜剧,中国大陆,2024,33.2821,https://movie.douban.com/subject/36653918/
第二十条,7.5,779381.0,其它|剧情|喜剧,中国大陆,2024,24.4958,https://movie.douban.com/subject/36208094/
熊出没·逆转时空,6.9,62896.0,动作|动画|喜剧,中国大陆,2024,19.8315,https://movie.douban.com/subject/36438166/
满江红,7.0,1135756.0,其它|剧情|喜剧|悬疑,中国大陆,2023,45.4418,https://movie.douban.com/subject/35766491/
流浪地球2,8.3,1384642.0,动作,中国大陆,2023,40.2391,https://movie.douban.com/subject/35267208/
孤注一掷,6.8,762003.0,剧情|悬疑,中国大陆,2023,38.3111,https://movie.douban.com/subject/35267224/
消失的她,6.2,973759.0,悬疑,中国大陆,2023,35.2235,https://movie.douban.com/subject/35660795/
封神第一部：朝歌风云,7.7,1268213.0,其它|动作,中国大陆,2023,26.3371,https://movie.douban.com/subject/10604086/
长津湖之水门桥,7.2,394153.0,其它|剧情|动作,中国大陆,2022,40.6698,https://movie.douban.com/subject/35613853/
独行月球,6.6,751218.0,动作|喜剧,中国大陆,2022,31.0525,https://movie.douban.com/subject/35183042/
这个杀手不太冷静,6.1,569352.0,喜剧,中国大陆,2022,26.2122,https://movie.douban.com/subject/35505100/
人生大事,7.3,665550.0,其它|剧情,中国大陆,2022,17.1312,https://movie.douban.com/subject/35460157/
阿凡达：水之道 Avatar: The Way of Water,7.8,636656.0,动作,美国,2022,16.975,https://movie.douban.com/subject/4811774/
长津湖,7.4,805614.0,其它|剧情|动作,中国大陆,2021,57.7007,https://movie.douban.com/subject/25845392/
你好，李焕英,7.7,1532400.0,剧情|动作|喜剧,中国大陆,2021,54.133,https://movie.douban.com/subject/34841067/
唐人街探案3,5.3,1126630.0,喜剧|悬疑,中国大陆,2021,45.1459,https://movie.douban.com/subject/27619748/
我和我的父辈,6.4,289131.0,剧情,中国大陆,2021,14.7232,https://movie.douban.com/subject/35294995/
速度与激情9 F9: The Fast Saga,5.1,214558.0,动作|悬疑,美国,2021,13.9232,https://movie.douban.com/subject/25728006/
八佰,7.5,870854.0,其它|剧情|动作,中国大陆,2020,30.9137,https://movie.douban.com/subject/26754233/
我和我的家乡,7.0,703348.0,剧情|喜剧,中国大陆,2020,28.2296,https://movie.douban.com/subject/35051512/
姜子牙,6.6,630817.0,剧情|动作|动画,中国大陆,2020,15.977,https://movie.douban.com/subject/25907124/
送你一朵小红花,7.2,798019.0,剧情,中国大陆,2020,14.3152,https://movie.douban.com/subject/35096844/
拆弹专家2,7.4,587816.0,动作|悬疑,中国大陆,2020,13.1477,https://movie.douban.com/subject/30171424/
哪吒之魔童降世,8.4,2041898.0,剧情|动作|动画|喜剧,中国大陆,2019,49.7267,https://movie.douban.com/subject/26794435/
流浪地球,7.9,2019758.0,动作,中国大陆,2019,46.4391,https://movie.douban.com/subject/26266893/
复仇者联盟4：终局之战 Avengers: Endgame,8.5,1133152.0,剧情|动作,美国,2019,42.4111,https://movie.douban.com/subject/26100958/
我和我的祖国,7.6,1060384.0,剧情,中国大陆,2019,31.7131,https://movie.douban.com/subject/32659890/
中国机长,6.6,765786.0,其它|剧情|动作,中国大陆,2019,28.6906,https://movie.douban.com/subject/30295905/
红海行动,8.2,1091047.0,动作,中国大陆,2018,36.4725,https://movie.douban.com/subject/26861685/
唐人街探案2,6.6,961762.0,动作|喜剧|悬疑,中国大陆,2018,33.9654,https://movie.douban.com/subject/26698897/
我不是药神,9.0,2299643.0,剧情|喜剧,中国大陆,2018,30.963,https://movie.douban.com/subject/26752088/
西虹市首富,6.6,1084026.0,喜剧,中国大陆,2018,25.4441,https://movie.douban.com/subject/27605698/
